2016-11-25 08:24:20.662942,14.96,41.76,1024.07,73.17,463.26
2016-11-25 08:24:20.673071,25.18,62.96,1020.04,59.08,444.37
2016-11-25 08:24:20.683174,5.11,39.4,1012.16,92.14,488.56
2016-11-25 08:24:20.693279,20.86,57.32,1010.24,76.64,446.48
2016-11-25 08:24:20.703365,10.82,37.5,1009.23,96.62,473.9
2016-11-25 08:24:20.713454,26.27,59.44,1012.23,58.77,443.67
2016-11-25 08:24:20.723536,15.89,43.96,1014.02,75.24,467.35
2016-11-25 08:24:20.733618,9.48,44.71,1019.12,66.43,478.42
2016-11-25 08:24:20.743700,14.64,45,1021.78,41.25,475.98
2016-11-25 08:24:20.753781,11.74,43.56,1015.14,70.72,477.5
2016-11-25 08:24:20.763868,17.99,43.72,1008.64,75.04,453.02
2016-11-25 08:24:20.773968,20.14,46.93,1014.66,64.22,453.99
2016-11-25 08:24:20.784052,24.34,73.5,1011.31,84.15,440.29
2016-11-25 08:24:20.794139,25.71,58.59,1012.77,61.83,451.28
2016-11-25 08:24:20.804220,26.19,69.34,1009.48,87.59,433.99
2016-11-25 08:24:20.814299,21.42,43.79,1015.76,43.08,462.19
2016-11-25 08:24:20.824376,18.21,45,1022.86,48.84,467.54
2016-11-25 08:24:20.834454,11.04,41.74,1022.6,77.51,477.2
2016-11-25 08:24:20.844532,14.45,52.75,1023.97,63.59,459.85
2016-11-25 08:24:20.854606,13.97,38.47,1015.15,55.28,464.3
2016-11-25 08:24:20.864694,17.76,42.42,1009.09,66.26,468.27
2016-11-25 08:24:20.874781,5.41,40.07,1019.16,64.77,495.24
2016-11-25 08:24:20.884880,7.76,42.28,1008.52,83.31,483.8
2016-11-25 08:24:20.894967,27.23,63.9,1014.3,47.19,443.61
2016-11-25 08:24:20.905060,27.36,48.6,1003.18,54.93,436.06
2016-11-25 08:24:20.915143,27.47,70.72,1009.97,74.62,443.25
2016-11-25 08:24:20.925225,14.6,39.31,1011.11,72.52,464.16
2016-11-25 08:24:20.935307,7.91,39.96,1023.57,88.44,475.52
2016-11-25 08:24:20.945389,5.81,35.79,1012.14,92.28,484.41
2016-11-25 08:24:20.955470,30.53,65.18,1012.69,41.85,437.89
2016-11-25 08:24:20.965552,23.87,63.94,1019.02,44.28,445.11
2016-11-25 08:24:20.975634,26.09,58.41,1013.64,64.58,438.86
